timestamp,session_id,cfg,frame,sub_frame,version,platform,time_cpu_cycles,num_detected_obj,num_tlvs,packet_len,tlv_summary,presence_indication,point_count,target_count,target_index_count,vital_count,unknown_tlv_summary
1783488770.221,aop6m_test_02,vital_signs_AOP_6m.cfg,538,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488770.304,aop6m_test_02,vital_signs_AOP_6m.cfg,539,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488770.492,aop6m_test_02,vital_signs_AOP_6m.cfg,540,0,50659332,682051,0,0,2,172,1010:112;1021:4,50594050,0,1,0,0,
1783488770.575,aop6m_test_02,vital_signs_AOP_6m.cfg,542,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488770.680,aop6m_test_02,vital_signs_AOP_6m.cfg,543,0,50659332,682051,0,23,3,384,1020:204;1010:112;1021:4,1,23,1,0,0,
1783488770.809,aop6m_test_02,vital_signs_AOP_6m.cfg,544,0,50659332,682051,0,23,5,559,1020:204;1010:112;1011:23;1021:4;1040:136,1,23,1,23,1,
1783488770.855,aop6m_test_02,vital_signs_AOP_6m.cfg,545,0,50659332,682051,0,0,3,203,1010:112;1011:23;1021:4,1,0,1,23,0,
1783488771.022,aop6m_test_02,vital_signs_AOP_6m.cfg,546,0,50659332,682051,0,0,2,172,1010:112;1021:4,50594050,0,1,0,0,
1783488771.105,aop6m_test_02,vital_signs_AOP_6m.cfg,548,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488771.209,aop6m_test_02,vital_signs_AOP_6m.cfg,549,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488771.292,aop6m_test_02,vital_signs_AOP_6m.cfg,550,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488771.375,aop6m_test_02,vital_signs_AOP_6m.cfg,551,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488771.479,aop6m_test_02,vital_signs_AOP_6m.cfg,552,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488771.562,aop6m_test_02,vital_signs_AOP_6m.cfg,553,0,50659332,682051,0,0,2,172,1010:112;1021:4,1,0,1,0,0,
1783488771.665,aop6m_test_02,vital_signs_AOP_6m.cfg,554,0,50659332,682051,0,1,3,208,1020:28;1010:112;1021:4,1,1,1,0,0,
1783488771.749,aop6m_test_02,vital_signs_AOP_6m.cfg,555,0,50659332,682051,0,0,3,181,1010:112;1011:1;1021:4,1,0,1,1,0,
1783488771.832,aop6m_test_02,vital_signs_AOP_6m.cfg,556,0,50659332,682051,0,3,3,224,1020:44;1010:112;1021:4,1,3,1,0,0,
1783488772.021,aop6m_test_02,vital_signs_AOP_6m.cfg,557,0,50659332,682051,0,13,4,315,1020:124;1010:112,,13,1,0,0,
1783488772.108,aop6m_test_02,vital_signs_AOP_6m.cfg,559,0,50659332,682051,0,91,4,961,1020:748;1010:112;1011:25;1021:4,1,91,1,25,0,
1783488772.243,aop6m_test_02,vital_signs_AOP_6m.cfg,560,0,50659332,682051,0,91,5,1171,1020:748;1010:112;1011:91;1021:4;1040:136,1,91,1,91,1,
1783488772.299,aop6m_test_02,vital_signs_AOP_6m.cfg,561,0,50659332,682051,0,101,4,1107,1020:828;1010:112;1011:91;1021:4,1,101,1,91,0,
1783488772.398,aop6m_test_02,vital_signs_AOP_6m.cfg,562,0,50659332,682051,0,89,4,1021,1020:732;1010:112;1011:101;1021:4,1,89,1,101,0,
1783488772.494,aop6m_test_02,vital_signs_AOP_6m.cfg,563,0,50659332,682051,0,149,4,1489,1020:1212;1010:112;1011:89;1021:4,1,149,1,89,0,
1783488772.576,aop6m_test_02,vital_signs_AOP_6m.cfg,564,0,50659332,682051,0,149,4,1549,1020:1212;1010:112;1011:149;1021:4,1,149,1,149,0,
1783488772.658,aop6m_test_02,vital_signs_AOP_6m.cfg,565,0,50659332,682051,0,0,3,329,1010:112;1011:149;1021:4,1,0,1,149,0,
1783488772.745,aop6m_test_02,vital_signs_AOP_6m.cfg,566,0,50659332,682051,0,116,3,1128,1020:948;1010:112;1021:4,1,116,1,0,0,
1783488772.925,aop6m_test_02,vital_signs_AOP_6m.cfg,567,0,50659332,682051,0,82,4,980,1020:676,,82,0,0,0,
1783488773.102,aop6m_test_02,vital_signs_AOP_6m.cfg,569,0,50659332,682051,0,40,4,677,1020:340;112:0,,40,0,0,0,112:0
1783488773.191,aop6m_test_02,vital_signs_AOP_6m.cfg,571,0,50659332,682051,0,82,4,978,1020:676;1010:112;1011:114;1021:4,1,82,1,114,0,
1783488773.370,aop6m_test_02,vital_signs_AOP_6m.cfg,572,0,50659332,682051,0,92,4,1026,1020:756,,92,0,0,0,
1783488773.486,aop6m_test_02,vital_signs_AOP_6m.cfg,574,0,50659332,682051,0,149,4,1527,1020:1212;1010:112;1011:127;1021:4,1,149,1,127,0,
1783488773.567,aop6m_test_02,vital_signs_AOP_6m.cfg,575,0,50659332,682051,0,0,3,329,1010:112;1011:149;1021:4,1,0,1,149,0,
1783488773.674,aop6m_test_02,vital_signs_AOP_6m.cfg,576,0,50659332,682051,0,0,3,316,1010:112;1021:4;1040:136,1,0,1,0,1,
1783488773.738,aop6m_test_02,vital_signs_AOP_6m.cfg,577,0,50659332,682051,0,45,3,560,1020:380;1010:112;1021:4,1,45,1,0,0,
1783488773.828,aop6m_test_02,vital_signs_AOP_6m.cfg,578,0,50659332,682051,0,49,4,645,1020:412;1010:112;1011:45;1021:4,1,49,1,45,0,
1783488773.918,aop6m_test_02,vital_signs_AOP_6m.cfg,579,0,50659332,682051,0,18,4,401,1020:164;1010:112;1011:49;1021:4,1,18,1,49,0,
1783488774.005,aop6m_test_02,vital_signs_AOP_6m.cfg,580,0,50659332,682051,0,30,4,466,1020:260;1010:112;1011:18;1021:4,1,30,1,18,0,
1783488774.092,aop6m_test_02,vital_signs_AOP_6m.cfg,581,0,50659332,682051,0,49,4,630,1020:412;1010:112;1011:30;1021:4,1,49,1,30,0,
