timestamp,session_id,cfg,frame,sub_frame,point_index,tlv_type,point_format,x_m,y_m,z_m,range_m,azimuth_rad,elevation_rad,doppler_mps,snr_db,noise_db,raw_range,raw_azimuth,raw_elevation,raw_doppler,raw_snr,raw_noise,range_unit,azimuth_unit,elevation_unit,doppler_unit,snr_unit
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,10,1020,compressed_spherical,-0.112203,0.742400,-0.105809,0.758250,-0.150000,-0.140000,-7.580160,32.639999,,3033,-15,-14,-27072,816,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.406,aop6m_test_02,vital_signs_AOP_6m.cfg,18,0,11,1020,compressed_spherical,-0.104773,0.743485,-0.105809,0.758250,-0.140000,-0.140000,-7.580160,28.519999,,3033,-14,-14,-27072,713,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,0,1020,compressed_spherical,-0.183772,0.690818,-0.252867,0.758250,-0.260000,-0.340000,4.737600,20.000000,,3033,-26,-34,16920,500,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,1,1020,compressed_spherical,-0.176855,0.692621,-0.252867,0.758250,-0.250000,-0.340000,4.737600,24.519999,,3033,-25,-34,16920,613,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,2,1020,compressed_spherical,-0.169920,0.694355,-0.252867,0.758250,-0.240000,-0.340000,4.737600,29.879999,,3033,-24,-34,16920,747,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,3,1020,compressed_spherical,-0.149428,0.638190,-0.231857,0.695250,-0.230000,-0.340000,-2.684640,23.359999,,2781,-23,-34,-9588,584,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,4,1020,compressed_spherical,-0.162968,0.696019,-0.252867,0.758250,-0.230000,-0.340000,4.579680,36.239999,,3033,-23,-34,16356,906,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,5,1020,compressed_spherical,-0.143039,0.639652,-0.231857,0.695250,-0.220000,-0.340000,-2.684640,28.999999,,2781,-22,-34,-9588,725,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,6,1020,compressed_spherical,-0.156000,0.697614,-0.252867,0.758250,-0.220000,-0.340000,4.579680,42.639999,,3033,-22,-34,16356,1066,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,7,1020,compressed_spherical,-0.123955,0.611491,-0.100689,0.632000,-0.200000,-0.160000,-4.105920,19.360000,,2528,-20,-16,-14664,484,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,8,1020,compressed_spherical,-0.136635,0.641051,-0.231857,0.695250,-0.210000,-0.340000,-2.684640,35.759999,,2781,-21,-34,-9588,894,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
1783488723.513,aop6m_test_02,vital_signs_AOP_6m.cfg,19,0,9,1020,compressed_spherical,-0.149016,0.699139,-0.252867,0.758250,-0.210000,-0.340000,4.579680,47.639999,,3033,-21,-34,16356,1191,,0.0002500000118743628,0.009999999776482582,0.009999999776482582,0.0002800000074785203,0.03999999910593033
