"main_label","person_count","lying_count","moving_count","breathing_count","scenario_note","source","estimated_time_sec","frame","num_detected_obj","num_tlvs","packet_len","tlv_summary","has_vital","target_id","range_bin","breath_deviation","heart_rate","breath_rate","raw_radar","raw_vital"
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","126.18","1405","149","4","1549","1020:1212;1010:112;1011:149;1021:4","0","","","","","","RADAR,1405,149,4,1549,1020:1212;1010:112;1011:149;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","126.63","1410","85","4","1037","1020:700","0","","","","","","RADAR,1410,85,4,1037,1020:700",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","127.26","1417","107","4","1124","1020:876;1010:112;1011:60;1021:4","0","","","","","","RADAR,1417,107,4,1124,1020:876;1010:112;1011:60;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","127.71","1422","43","4","599","1020:364;112:0","0","","","","","","RADAR,1422,43,4,599,1020:364;112:0",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","128.25","1428","103","4","1113","1020:844","0","","","","","","RADAR,1428,103,4,1113,1020:844",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","128.88","1435","37","4","561","1020:316;1010:112;1011:57;1021:4","0","","","","","","RADAR,1435,37,4,561,1020:316;1010:112;1011:57;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","129.42","1441","0","3","181","1010:112;1011:1;1021:4","0","","","","","","RADAR,1441,0,3,181,1010:112;1011:1;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","129.96","1447","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1447,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","130.50","1453","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1453,0,2,172,1010:112;1021:4",""
"one_breathing_one_walking","2","1","1","1","one lying person breathing, one person walking back and forth on the same path","pasted_text","131.04","1459","0","2","172","1010:112;1021:4","0","","","","","","RADAR,1459,0,2,172,1010:112;1021:4",""
